#Step <PairEne> <EwaldEne> <TotalEnergy> NoOfMol <Density> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate insert delete
100 -nan -nan -nan 18 -nan 0 -nan -nan -nan -nan -nan 1 -nan 0.2857 -nan -nan -nan -nan
200 3.18634e-15 21.72676 21.72676 18 1.8e-05 0 4.348 2.491 3.225 1.517 12.93 0.9503 -nan 0.5333 -nan -nan 0.2 0.2
300 1.011413e-14 21.80698 21.80698 18 1.8e-05 0 4.414 2.487 3.292 1.57 13.18 0.939 -nan 0.4762 -nan -nan 0.1111 0.1
400 1.366685e-14 22.22056 22.22056 18 1.8e-05 0 4.432 2.545 3.334 1.433 13.08 0.9398 -nan 0.52 -nan -nan 0.1667 0.1176
500 1.184608e-14 19.83074 19.83074 9 1.575e-05 0 4.509 2.636 3.419 1.3 13.2 0.9409 -nan 0.6 -nan -nan 0.1667 0.1429
600 0.001357602 21.41035 21.41171 18 1.62e-05 0 4.418 2.558 3.39 1.22 12.91 0.9465 -nan 0.5882 -nan -nan 0.1905 0.1538
700 0.001131335 22.75944 22.76057 18 1.65e-05 0 4.344 2.516 3.306 1.269 12.55 0.9492 -nan 0.5789 -nan -nan 0.2 0.1562
800 0.0009697156 23.18472 23.18569 18 1.671e-05 0 4.343 2.552 3.183 1.489 12.45 0.9524 -nan 0.587 -nan -nan 0.2069 0.1538
900 0.008293193 23.24869 23.25698 18 1.688e-05 0 4.277 2.462 3.148 1.522 12.05 0.9536 -nan 0.58 -nan -nan 0.2632 0.2273
1000 0.02903113 23.25968 23.28871 18 1.7e-05 7.79596e-05 4.228 2.397 3.117 1.553 11.72 0.9513 -nan 0.5926 -nan -nan 0.2326 0.2128
1100 0.02612801 23.4364 23.46253 18 1.71e-05 7.79596e-05 4.174 2.357 3.013 1.669 11.38 0.9482 -nan 0.6 -nan -nan 0.234 0.2115
1200 0.02375274 23.35154 23.37529 18 1.718e-05 7.79596e-05 4.137 2.33 2.949 1.728 11.1 0.9486 -nan 0.6119 -nan -nan 0.2245 0.1864
1300 0.02177334 23.48685 23.50863 18 1.725e-05 7.79596e-05 4.093 2.26 2.933 1.745 10.85 0.9454 -nan 0.6133 -nan -nan 0.22 0.1774
1400 0.03620909 23.57355 23.60976 18 1.731e-05 7.79596e-05 4.095 2.185 2.916 1.869 10.87 0.9443 -nan 0.625 -nan -nan 0.2143 0.1818
1500 0.03362273 23.55326 23.58688 18 1.736e-05 7.79596e-05 4.141 2.354 2.845 1.872 10.97 0.9442 -nan 0.622 -nan -nan 0.2373 0.1944
1600 0.03138121 23.48149 23.51287 18 1.74e-05 7.79596e-05 4.186 2.501 2.789 1.868 11.1 0.9469 -nan 0.6322 -nan -nan 0.2258 0.1707
1700 0.02941989 23.44431 23.47373 18 1.744e-05 7.79596e-05 4.217 2.61 2.737 1.864 11.2 0.9486 -nan 0.6222 -nan -nan 0.2083 0.1786
1800 0.0276893 23.37257 23.40026 18 1.747e-05 7.79596e-05 4.233 2.692 2.686 1.861 11.25 0.9501 -nan 0.6354 -nan -nan 0.1899 0.1685
1900 0.02615101 23.81352 23.83967 27 1.8e-05 7.79596e-05 4.218 2.703 2.647 1.866 11.21 0.9514 -nan 0.64 -nan -nan 0.1818 0.1596
2000 0.02477464 23.70668 23.73145 18 1.8e-05 7.75453e-05 4.207 2.695 2.617 1.893 11.19 0.9519 -nan 0.6337 -nan -nan 0.1915 0.1667
2100 0.02353591 23.7687 23.79224 18 1.8e-05 7.75453e-05 4.209 2.701 2.597 1.918 11.24 0.9518 -nan 0.6542 -nan -nan 0.2079 0.1842
2200 0.02241515 23.28533 23.30775 9 1.757e-05 7.75453e-05 4.215 2.65 2.54 2.07 11.29 0.9534 -nan 0.6486 -nan -nan 0.2056 0.1901
2300 0.02139628 22.85028 22.87168 9 1.718e-05 7.75453e-05 4.185 2.653 2.505 2.051 11.13 0.9545 -nan 0.65 -nan -nan 0.211 0.1951
2400 0.02046601 23.40631 23.42678 27 1.761e-05 7.75453e-05 4.165 2.628 2.473 2.079 11.07 0.955 -nan 0.648 -nan -nan 0.2193 0.1935
2500 0.01961326 23.36225 23.38186 18 1.763e-05 7.75453e-05 4.154 2.614 2.451 2.102 11.05 0.9541 -nan 0.6484 -nan -nan 0.2137 0.1984
2600 0.06143871 22.95878 23.02022 9 1.728e-05 7.75453e-05 4.114 2.586 2.414 2.1 10.86 0.956 -nan 0.6489 -nan -nan 0.2203 0.2077
2700 0.05907568 22.6055 22.66457 9 1.696e-05 7.75453e-05 4.102 2.558 2.426 2.097 10.78 0.9572 -nan 0.6643 -nan -nan 0.2213 0.2059
2800 0.05688769 22.66617 22.72306 18 1.7e-05 7.75453e-05 4.1 2.544 2.423 2.114 10.78 0.9575 -nan 0.6667 -nan -nan 0.2283 0.2071
2900 0.05485599 22.30615 22.36101 9 1.671e-05 7.75453e-05 4.11 2.539 2.453 2.105 10.78 0.9569 -nan 0.6644 -nan -nan 0.2239 0.2109
3000 0.05731759 22.11272 22.17004 18 1.676e-05 7.65095e-05 4.104 2.527 2.461 2.098 10.72 0.9544 -nan 0.6667 -nan -nan 0.2302 0.2133
3100 0.055407 22.03713 22.09254 18 1.68e-05 7.65095e-05 4.1 2.514 2.474 2.091 10.68 0.9514 -nan 0.671 -nan -nan 0.227 0.2051
3200 0.05361968 22.14583 22.19945 18 1.684e-05 7.65095e-05 4.096 2.507 2.478 2.086 10.63 0.951 -nan 0.677 -nan -nan 0.223 0.2062
3300 0.0633236 22.31032 22.37364 18 1.688e-05 7.65095e-05 4.087 2.496 2.488 2.071 10.57 0.9517 -nan 0.6606 -nan -nan 0.2208 0.2
3400 0.0614047 22.0437 22.10511 9 1.664e-05 7.65095e-05 4.088 2.503 2.482 2.07 10.53 0.9525 -nan 0.6607 -nan -nan 0.2229 0.2034
3500 0.05959868 22.05358 22.11318 18 1.668e-05 7.65095e-05 4.109 2.533 2.449 2.115 10.64 0.9522 -nan 0.6667 -nan -nan 0.2303 0.2088
3600 0.05789586 21.76305 21.82095 9 1.646e-05 7.65095e-05 4.137 2.6 2.416 2.125 10.79 0.9536 -nan 0.6647 -nan -nan 0.2289 0.2063
3700 0.05628764 21.89755 21.95383 18 1.65e-05 7.65095e-05 4.144 2.624 2.39 2.138 10.85 0.9539 -nan 0.6591 -nan -nan 0.2241 0.2042
3800 0.06505135 22.34455 22.4096 27 1.678e-05 7.65095e-05 4.141 2.603 2.369 2.182 10.85 0.9535 -nan 0.663 -nan -nan 0.2291 0.203
3900 0.06333947 22.39839 22.46173 18 1.682e-05 7.65095e-05 4.145 2.6 2.348 2.216 10.86 0.9538 -nan 0.6667 -nan -nan 0.227 0.2059
4000 0.06323057 22.53839 22.60162 18 1.685e-05 7.64612e-05 4.132 2.601 2.332 2.208 10.79 0.9534 -nan 0.6702 -nan -nan 0.2228 0.2028
4100 0.06614356 22.82712 22.89327 27 1.71e-05 7.64612e-05 4.128 2.611 2.317 2.203 10.76 0.9529 -nan 0.6702 -nan -nan 0.225 0.2037
4200 0.06459991 22.61934 22.68394 9 1.69e-05 7.64612e-05 4.124 2.621 2.297 2.204 10.72 0.9531 -nan 0.6634 -nan -nan 0.2255 0.2127
4300 0.06306181 22.65331 22.71637 18 1.693e-05 7.64612e-05 4.12 2.609 2.288 2.22 10.7 0.9526 -nan 0.6683 -nan -nan 0.2282 0.208
4400 0.06159526 22.63133 22.69292 18 1.695e-05 7.64612e-05 4.12 2.608 2.282 2.229 10.71 0.951 -nan 0.6744 -nan -nan 0.2249 0.2043
4500 0.06019537 22.61708 22.67727 18 1.698e-05 7.64612e-05 4.121 2.608 2.275 2.237 10.72 0.9505 -nan 0.6636 -nan -nan 0.2254 0.2017
4600 0.05885769 22.62183 22.68069 18 1.7e-05 7.64612e-05 4.121 2.607 2.268 2.244 10.73 0.9501 -nan 0.6577 -nan -nan 0.2233 0.2
4700 0.05757818 22.602 22.65958 18 1.702e-05 7.64612e-05 4.124 2.614 2.263 2.249 10.75 0.9502 -nan 0.6578 -nan -nan 0.2192 0.1959
4800 0.05635311 22.82816 22.88451 27 1.723e-05 7.64612e-05 4.126 2.626 2.252 2.25 10.76 0.9491 -nan 0.6623 -nan -nan 0.2168 0.1928
4900 0.1274647 22.91154 23.039 18 1.725e-05 7.64612e-05 4.119 2.634 2.243 2.235 10.72 0.9493 -nan 0.6638 -nan -nan 0.2241 0.2023
5000 0.1248633 22.69266 22.81753 9 1.708e-05 6.89051e-05 4.123 2.664 2.233 2.218 10.75 0.9497 -nan 0.6596 -nan -nan 0.2185 0.2031
5100 0.1246889 22.8874 23.01209 18 1.71e-05 6.89051e-05 4.114 2.656 2.234 2.209 10.72 0.9506 -nan 0.6639 -nan -nan 0.2282 0.2022
5200 0.122244 23.14211 23.26435 27 1.729e-05 6.89051e-05 4.11 2.661 2.219 2.211 10.71 0.9509 -nan 0.6626 -nan -nan 0.232 0.2058
5300 0.1202153 23.20254 23.32275 18 1.731e-05 6.89051e-05 4.107 2.679 2.201 2.2 10.67 0.9509 -nan 0.672 -nan -nan 0.2332 0.2107
5400 0.1182764 23.25191 23.37018 18 1.732e-05 6.89051e-05 4.103 2.663 2.199 2.215 10.65 0.9512 -nan 0.6667 -nan -nan 0.2392 0.214
5500 0.1160861 23.09052 23.2066 9 1.717e-05 6.89051e-05 4.097 2.678 2.186 2.199 10.62 0.9518 -nan 0.6705 -nan -nan 0.2432 0.2177
5600 0.1139755 23.1326 23.24658 18 1.718e-05 6.89051e-05 4.091 2.69 2.171 2.188 10.59 0.9523 -nan 0.6717 -nan -nan 0.2452 0.2119
5700 0.1119402 23.21164 23.32358 18 1.72e-05 6.89051e-05 4.089 2.687 2.175 2.183 10.57 0.9527 -nan 0.6765 -nan -nan 0.2416 0.2124
5800 0.1099763 23.28365 23.39362 18 1.721e-05 6.89051e-05 4.081 2.692 2.164 2.173 10.54 0.9523 -nan 0.6787 -nan -nan 0.2436 0.2168
5900 0.1080802 23.33164 23.43972 18 1.722e-05 6.89051e-05 4.082 2.697 2.156 2.178 10.54 0.9527 -nan 0.6809 -nan -nan 0.242 0.2166
6000 0.1062483 23.37856 23.48481 18 1.724e-05 7.05184e-05 4.083 2.699 2.147 2.186 10.54 0.9531 -nan 0.6793 -nan -nan 0.2369 0.2138
6100 0.1044775 23.42441 23.52889 18 1.725e-05 7.05184e-05 4.087 2.705 2.138 2.194 10.54 0.9535 -nan 0.6746 -nan -nan 0.2353 0.2118
6200 0.1027648 23.46105 23.56382 18 1.726e-05 7.05184e-05 4.083 2.691 2.148 2.195 10.53 0.954 -nan 0.6689 -nan -nan 0.2355 0.2117
6300 0.1011073 23.316 23.4171 9 1.713e-05 7.05184e-05 4.081 2.677 2.171 2.185 10.54 0.954 -nan 0.6656 -nan -nan 0.2315 0.2128
6400 0.1378379 23.34862 23.48646 18 1.714e-05 7.05184e-05 4.076 2.674 2.179 2.173 10.54 0.9542 -nan 0.6645 -nan -nan 0.2326 0.2083
6500 0.1475416 23.16013 23.30767 9 1.702e-05 7.05184e-05 4.062 2.66 2.182 2.16 10.5 0.954 -nan 0.6636 -nan -nan 0.2343 0.2105
6600 0.1452717 23.19705 23.34232 18 1.703e-05 7.05184e-05 4.056 2.66 2.171 2.16 10.49 0.9529 -nan 0.6595 -nan -nan 0.2347 0.2116
6700 0.1499006 23.22693 23.37683 18 1.705e-05 7.05184e-05 4.05 2.647 2.161 2.173 10.47 0.9527 -nan 0.6556 -nan -nan 0.2327 0.2133
6800 0.1595626 23.2458 23.40536 18 1.706e-05 7.05184e-05 4.05 2.639 2.176 2.168 10.5 0.9526 -nan 0.6518 -nan -nan 0.2391 0.2188
6900 0.1720007 23.33864 23.51064 27 1.721e-05 7.05184e-05 4.047 2.632 2.181 2.167 10.49 0.952 -nan 0.6491 -nan -nan 0.2439 0.2194
7000 0.1796395 23.2976 23.47724 18 1.722e-05 7.12263e-05 4.045 2.619 2.193 2.167 10.48 0.9514 -nan 0.6494 -nan -nan 0.2402 0.221
7100 0.2004969 23.21968 23.42017 18 1.723e-05 7.12263e-05 4.043 2.606 2.203 2.169 10.47 0.9502 -nan 0.6486 -nan -nan 0.2339 0.2192
7200 0.197673 23.06926 23.26693 9 1.711e-05 7.12263e-05 4.039 2.59 2.204 2.179 10.45 0.95 -nan 0.6525 -nan -nan 0.2319 0.2195
7300 0.196372 23.24856 23.44493 27 1.725e-05 7.12263e-05 4.042 2.579 2.217 2.185 10.48 0.9499 -nan 0.6546 -nan -nan 0.2371 0.2187
7400 0.193682 23.28095 23.47463 18 1.726e-05 7.12263e-05 4.045 2.565 2.217 2.206 10.49 0.95 -nan 0.6585 -nan -nan 0.236 0.2188
7500 0.1914171 23.28895 23.48036 18 1.727e-05 7.12263e-05 4.048 2.553 2.219 2.223 10.51 0.9499 -nan 0.6585 -nan -nan 0.234 0.2159
7600 0.1888649 23.32728 23.51614 18 1.728e-05 7.12263e-05 4.046 2.546 2.217 2.23 10.51 0.9501 -nan 0.6551 -nan -nan 0.2329 0.2168
7700 0.1863799 23.19448 23.38086 9 1.717e-05 7.12263e-05 4.045 2.531 2.224 2.238 10.51 0.9501 -nan 0.6579 -nan -nan 0.2297 0.2166
7800 0.1839593 23.21397 23.39793 18 1.718e-05 7.12263e-05 4.048 2.524 2.235 2.24 10.53 0.9501 -nan 0.6563 -nan -nan 0.2339 0.2132
7900 0.1816009 23.1701 23.3517 18 1.719e-05 7.12263e-05 4.048 2.52 2.249 2.232 10.53 0.9499 -nan 0.6582 -nan -nan 0.234 0.2126
8000 0.1793021 23.28638 23.46568 27 1.732e-05 7.69102e-05 4.052 2.514 2.268 2.226 10.55 0.9502 -nan 0.6566 -nan -nan 0.2306 0.2115
8100 0.1770609 23.33424 23.5113 18 1.732e-05 7.69102e-05 4.053 2.507 2.274 2.23 10.57 0.9504 -nan 0.6591 -nan -nan 0.2314 0.2133
8200 0.1748749 23.36972 23.54459 18 1.733e-05 7.69102e-05 4.056 2.5 2.283 2.233 10.59 0.9507 -nan 0.6626 -nan -nan 0.2298 0.2131
8300 0.1727423 23.23455 23.40729 9 1.723e-05 7.69102e-05 4.066 2.51 2.273 2.251 10.63 0.9509 -nan 0.6634 -nan -nan 0.2281 0.2145
8400 0.1706611 23.26797 23.43863 18 1.724e-05 7.69102e-05 4.068 2.515 2.264 2.259 10.64 0.9512 -nan 0.6643 -nan -nan 0.2289 0.2115
8500 0.1686294 23.30076 23.46939 18 1.725e-05 7.69102e-05 4.069 2.517 2.257 2.265 10.65 0.9515 -nan 0.6659 -nan -nan 0.2272 0.2086
8600 0.1666455 23.18841 23.35506 9 1.715e-05 7.69102e-05 4.072 2.515 2.247 2.281 10.66 0.9521 -nan 0.6675 -nan -nan 0.2249 0.2076
8700 0.1719954 23.14523 23.31722 18 1.716e-05 7.69102e-05 4.075 2.514 2.246 2.289 10.67 0.9521 -nan 0.6667 -nan -nan 0.2246 0.2044
8800 0.1700184 23.13227 23.30229 18 1.717e-05 7.69102e-05 4.073 2.507 2.24 2.299 10.67 0.9516 -nan 0.6713 -nan -nan 0.2225 0.2022
8900 0.1680864 22.99786 23.16595 9 1.708e-05 7.69102e-05 4.069 2.504 2.246 2.29 10.66 0.9514 -nan 0.6705 -nan -nan 0.2222 0.203
9000 0.1661978 23.02983 23.19603 18 1.709e-05 7.67785e-05 4.065 2.509 2.244 2.28 10.64 0.9515 -nan 0.6712 -nan -nan 0.2225 0.2013
9100 0.1643511 23.09781 23.26216 18 1.71e-05 7.67785e-05 4.062 2.511 2.247 2.27 10.63 0.9513 -nan 0.6674 -nan -nan 0.2253 0.2042
9200 0.1625451 23.15304 23.31559 18 1.711e-05 7.67785e-05 4.06 2.516 2.247 2.26 10.63 0.9511 -nan 0.6638 -nan -nan 0.2245 0.2041
9300 0.1607783 23.24551 23.40629 18 1.712e-05 7.67785e-05 4.051 2.509 2.247 2.252 10.61 0.951 -nan 0.6596 -nan -nan 0.226 0.2053
9400 0.1590495 23.3204 23.47945 18 1.713e-05 7.67785e-05 4.043 2.506 2.243 2.243 10.58 0.9514 -nan 0.6576 -nan -nan 0.2257 0.2052
9500 0.1573575 23.42104 23.5784 27 1.723e-05 7.67785e-05 4.042 2.501 2.245 2.245 10.58 0.9513 -nan 0.659 -nan -nan 0.2254 0.2052
9600 0.1557011 23.44603 23.60173 18 1.724e-05 7.67785e-05 4.035 2.495 2.242 2.241 10.55 0.9515 -nan 0.6583 -nan -nan 0.2261 0.2072
9700 0.155983 23.47718 23.63317 18 1.725e-05 7.67785e-05 4.028 2.49 2.24 2.238 10.53 0.9514 -nan 0.6577 -nan -nan 0.2261 0.2055
9800 0.1543749 23.34913 23.50351 9 1.716e-05 7.67785e-05 4.037 2.489 2.266 2.23 10.57 0.9518 -nan 0.6543 -nan -nan 0.2253 0.207
9900 0.1527996 23.35006 23.50286 18 1.717e-05 7.67785e-05 4.04 2.5 2.268 2.22 10.6 0.9518 -nan 0.6524 -nan -nan 0.2241 0.2054
10000 0.1515568 23.23568 23.38724 9 1.709e-05 7.29945e-05 4.041 2.514 2.263 2.211 10.6 0.9518 -nan 0.6498 -nan -nan 0.2218 0.2042
