#Step <PairEne> <EwaldEne> <TotalEnergy> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate
100 -nan -nan -nan 0 -nan -nan -nan -nan -nan 0.6737 -nan 0 -nan -nan
200 2.188792 76.92858 79.11737 0 7.269 4.472 4.071 4.034 19.86 0.6684 -nan 0 -nan -nan
300 3.633255 77.62008 81.25334 0 7.27 4.473 4.07 4.034 19.86 0.6376 -nan 0.07692 -nan -nan
400 5.276302 75.3385 80.6148 0 7.272 4.476 4.07 4.035 19.86 0.6273 -nan 0.1053 -nan -nan
500 5.769825 74.98955 80.75938 0 7.273 4.477 4.07 4.036 19.86 0.6316 -nan 0.08 -nan -nan
600 6.034373 75.0191 81.05348 0 7.273 4.477 4.07 4.036 19.87 0.6394 -nan 0.07692 -nan -nan
700 6.499697 74.27158 80.77128 0 7.273 4.478 4.07 4.036 19.87 0.6336 -nan 0.05882 -nan -nan
800 6.820117 73.50725 80.32737 0 7.274 4.478 4.069 4.036 19.87 0.6219 -nan 0.04878 -nan -nan
900 6.677023 73.96991 80.64693 0 7.274 4.479 4.069 4.036 19.87 0.6047 -nan 0.04444 -nan -nan
1000 6.702246 75.10717 81.80942 0.000893236 7.277 4.483 4.069 4.038 19.88 0.62 -nan 0.08 -nan -nan
1100 6.740495 75.34488 82.08538 0.000893236 7.279 4.486 4.07 4.038 19.88 0.6264 -nan 0.1071 -nan -nan
1200 7.110062 75.35542 82.46548 0.000893236 7.28 4.487 4.07 4.038 19.87 0.6251 -nan 0.1311 -nan -nan
1300 7.492258 75.01297 82.50523 0.000893236 7.28 4.486 4.069 4.039 19.86 0.6272 -nan 0.1515 -nan -nan
1400 7.755651 74.57096 82.32661 0.000893236 7.279 4.485 4.068 4.04 19.86 0.6324 -nan 0.1493 -nan -nan
1500 7.742525 74.29002 82.03254 0.000893236 7.279 4.484 4.068 4.041 19.85 0.631 -nan 0.1449 -nan -nan
1600 7.596532 74.16448 81.76101 0.000893236 7.279 4.484 4.067 4.042 19.84 0.6308 -nan 0.1333 -nan -nan
1700 7.474656 74.0135 81.48815 0.000893236 7.279 4.483 4.067 4.042 19.84 0.6259 -nan 0.15 -nan -nan
1800 7.499818 74.20941 81.70923 0.000893236 7.279 4.483 4.067 4.043 19.83 0.6275 -nan 0.1463 -nan -nan
1900 7.492817 74.43963 81.93245 0.000893236 7.278 4.482 4.066 4.043 19.83 0.6272 -nan 0.1548 -nan -nan
2000 7.591271 74.174 81.76527 0.00082697 7.277 4.483 4.065 4.042 19.83 0.6253 -nan 0.1573 -nan -nan
2100 7.737799 73.73512 81.47291 0.00082697 7.277 4.482 4.065 4.043 19.82 0.6239 -nan 0.1837 -nan -nan
2200 7.847001 73.58367 81.43067 0.00082697 7.276 4.479 4.064 4.044 19.82 0.6254 -nan 0.1863 -nan -nan
2300 7.873974 73.81689 81.69087 0.00082697 7.276 4.478 4.064 4.046 19.82 0.6247 -nan 0.2056 -nan -nan
2400 7.802568 74.13934 81.94191 0.00082697 7.276 4.477 4.062 4.049 19.81 0.6268 -nan 0.2051 -nan -nan
2500 7.789321 74.45195 82.24127 0.00082697 7.276 4.477 4.059 4.052 19.81 0.6267 -nan 0.1983 -nan -nan
2600 7.911916 74.53175 82.44367 0.00082697 7.276 4.476 4.057 4.055 19.8 0.6265 -nan 0.1905 -nan -nan
2700 7.98017 74.47704 82.45721 0.00082697 7.276 4.475 4.055 4.058 19.8 0.6278 -nan 0.186 -nan -nan
2800 8.012245 74.52298 82.53523 0.00082697 7.277 4.477 4.053 4.06 19.8 0.6294 -nan 0.1866 -nan -nan
2900 7.994704 74.35743 82.35214 0.00082697 7.278 4.479 4.051 4.062 19.8 0.6311 -nan 0.1884 -nan -nan
3000 7.956675 74.07962 82.0363 0.000797884 7.28 4.482 4.049 4.064 19.8 0.6313 -nan 0.1944 -nan -nan
3100 7.927506 73.77518 81.70269 0.000797884 7.281 4.483 4.047 4.065 19.8 0.6305 -nan 0.2041 -nan -nan
3200 7.888968 73.56768 81.45665 0.000797884 7.281 4.485 4.045 4.067 19.8 0.6327 -nan 0.2053 -nan -nan
3300 7.860166 73.2311 81.09127 0.000797884 7.281 4.484 4.044 4.068 19.79 0.6321 -nan 0.2065 -nan -nan
