#Step <PairEne> <EwaldEne> <ExtPotEne> <TotalEnergy> NoOfMol <Density> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate insert delete
100 -nan -nan -nan -nan 36 -nan 0 -nan -nan -nan -nan -nan 0.8395 -nan 1 -nan -nan -nan -nan
200 0 6.717951 -2.242069 4.475882 36 0.000375 0 0 0 0 0 0 0.8075 1 1 -nan -nan 0.25 0.5
300 0 4.556856 -2.23899 2.317866 36 0.000375 0 0 0 0 0 0 0.7699 1 1 -nan -nan 0.1429 0.1
400 0 4.815939 -2.272083 2.543856 36 0.000375 0 0 0 0 0 0 0.7688 1 1 -nan -nan 0.1 0.07143
500 0 3.854217 -2.272575 1.581642 36 0.000375 0 0 0 0 0 0 0.7786 1 1 -nan -nan 0.06667 0.05263
600 0 3.235311 -2.272871 0.9624405 36 0.000375 0 0 0 0 0 0 0.781 1 1 -nan -nan 0.05 0.04348
700 0 2.721791 -2.252916 0.4688751 36 0.000375 0 0 0 0 0 0 0.7694 1 1 -nan -nan 0.04348 0.03846
800 0 2.558037 -2.176189 0.3818484 36 0.000375 0 0 0 0 0 0 0.7647 1 1 -nan -nan 0.03226 0.03125
900 0 2.212002 -2.173694 0.03830845 36 0.000375 0 0 0 0 0 0 0.7732 1 1 -nan -nan 0.02857 0.02564
1000 0 1.927787 -2.189877 -0.2620894 36 0.000375 8.44002e-05 0 0 0 0 0 0.763 1 1 -nan -nan 0.02564 0.025
1100 0 1.757637 -2.204716 -0.4470792 36 0.000375 8.44002e-05 0 0 0 0 0 0.7679 1 1 -nan -nan 0.02273 0.02174
1200 3.875688e-16 2.057672 -2.405808 -0.3481363 45 0.0003835 8.44002e-05 1.239 0.4861 1.12 0.2112 2.59 0.7672 1 1 -nan -nan 0.04167 0.01961
1300 3.575843e-16 1.98067 -2.40018 -0.4195097 36 0.0003828 8.44002e-05 1.186 0.4654 1.072 0.2022 2.48 0.7744 1 1 -nan 1 0.03704 0.03571
1400 3.322129e-16 1.949478 -2.334035 -0.384557 36 0.0003822 8.44002e-05 1.14 0.4471 1.03 0.1942 2.382 0.7711 1 1 -nan 1 0.03509 0.03125
1500 3.104659e-16 2.020035 -2.334338 -0.3143032 36 0.0003817 8.44002e-05 1.098 0.4309 0.9927 0.1872 2.296 0.7745 1 1 -nan 1 0.02985 0.03077
1600 2.916186e-16 2.035475 -2.334595 -0.2991201 36 0.0003813 8.44002e-05 1.061 0.4162 0.959 0.1808 2.218 0.7737 1 1 -nan 1 0.02667 0.02857
1700 2.751271e-16 2.138256 -2.32501 -0.1867546 36 0.0003809 8.44002e-05 1.027 0.403 0.9285 0.1751 2.147 0.7693 1 1 -nan 1 0.025 0.02667
1800 2.605759e-16 2.308761 -2.283978 0.02478326 36 0.0003805 8.44002e-05 0.9966 0.391 0.9008 0.1699 2.083 0.7708 1 1 -nan 1 0.02326 0.02469
1900 2.476414e-16 2.480494 -2.278274 0.2022202 36 0.0003802 8.44002e-05 0.9685 0.38 0.8754 0.1651 2.025 0.7728 1 1 -nan 1 0.02198 0.02247
2000 2.360685e-16 2.62444 -2.281432 0.3430085 36 0.0003799 4.22001e-05 0.9427 0.3698 0.8521 0.1607 1.971 0.7761 1 1 -nan 1 0.02151 0.02083
2100 2.256528e-16 2.712634 -2.284274 0.4283603 36 0.0003797 4.22001e-05 0.9188 0.3605 0.8305 0.1566 1.921 0.7722 1 1 -nan 1 0.02062 0.02
2200 2.162292e-16 2.742692 -2.286335 0.4563567 36 0.0003795 4.22001e-05 0.8967 0.3518 0.8105 0.1528 1.874 0.7752 1 1 -nan 1 0.01942 0.01869
2300 2.076622e-16 2.647487 -2.288696 0.3587904 36 0.0003793 4.22001e-05 0.8761 0.3437 0.7919 0.1493 1.831 0.7758 1 1 -nan 1 0.01869 0.01835
2400 1.998401e-16 2.476526 -2.288368 0.1881587 36 0.0003791 4.22001e-05 0.8568 0.3361 0.7745 0.146 1.791 0.777 1 1 -nan 1 0.01818 0.01754
2500 1.9267e-16 2.420988 -2.289285 0.1317029 36 0.0003789 4.22001e-05 0.8388 0.3291 0.7582 0.143 1.753 0.7751 1 1 -nan 1 0.01739 0.01667
2600 1.860734e-16 2.319913 -2.28167 0.03824283 36 0.0003788 4.22001e-05 0.8218 0.3224 0.7428 0.1401 1.718 0.7739 1 1 -nan 1 0.01667 0.016
2700 1.799842e-16 2.308147 -2.283847 0.02430034 36 0.0003786 4.22001e-05 0.8059 0.3162 0.7284 0.1374 1.685 0.771 1 1 -nan 1 0.01587 0.01527
2800 1.743461e-16 2.271592 -2.285862 -0.01426936 36 0.0003785 4.22001e-05 0.7908 0.3102 0.7148 0.1348 1.653 0.7743 1 1 -nan 1 0.01538 0.01449
2900 1.691108e-16 2.260455 -2.287733 -0.02727843 36 0.0003783 4.22001e-05 0.7765 0.3047 0.7019 0.1324 1.623 0.7753 1 1 -nan 1 0.01449 0.01429
3000 1.642364e-16 2.235843 -2.287974 -0.05213151 36 0.0003782 7.49952e-05 0.763 0.2994 0.6897 0.1301 1.595 0.7761 1 1 -nan 1 0.01449 0.0137
3100 1.596871e-16 2.33115 -2.282334 0.04881547 36 0.0003781 7.49952e-05 0.7502 0.2943 0.6781 0.1279 1.568 0.7776 1 1 -nan 1 0.01399 0.01299
3200 1.554312e-16 2.343424 -2.266332 0.07709242 36 0.000378 7.49952e-05 0.738 0.2895 0.6671 0.1258 1.543 0.7764 1 0.8889 -nan 1 0.02 0.01875
3300 1.514414e-16 2.434716 -2.247095 0.187621 36 0.0003779 7.49952e-05 0.7264 0.285 0.6566 0.1238 1.518 0.7774 1 0.8889 -nan 1 0.01974 0.01852
3400 1.468522e-16 2.455032 -2.248243 0.2067889 36 0.0003778 7.49952e-05 0.7153 0.2806 0.6466 0.1219 1.495 0.7783 1 0.8889 -nan 1 0.01887 0.01796
3500 1.42533e-16 2.41052 -2.240796 0.1697243 36 0.0003778 7.49952e-05 0.7047 0.2765 0.637 0.1201 1.473 0.7777 1 0.8889 -nan 1 0.01829 0.01744
3600 1.384607e-16 2.369717 -2.243581 0.1261361 36 0.0003777 7.49952e-05 0.6946 0.2725 0.6278 0.1184 1.452 0.7771 1 0.8889 -nan 1 0.01724 0.01734
3700 1.346145e-16 2.296026 -2.244484 0.051542 36 0.0003776 7.49952e-05 0.6848 0.2687 0.619 0.1167 1.432 0.776 1 0.8889 -nan 1 0.0163 0.01695
3800 1.309763e-16 2.167201 -2.246321 -0.07912002 36 0.0003775 7.49952e-05 0.6755 0.265 0.6106 0.1151 1.412 0.774 1 0.8889 -nan 1 0.01587 0.01648
3900 1.275296e-16 2.084167 -2.247591 -0.1634244 36 0.0003775 7.49952e-05 0.6666 0.2615 0.6025 0.1136 1.393 0.7733 1 0.8889 -nan 1 0.01538 0.01613
4000 1.242596e-16 2.007576 -2.249916 -0.2423399 36 0.0003774 5.62464e-05 0.658 0.2581 0.5947 0.1121 1.375 0.7708 1 0.8889 -nan 1 0.01508 0.01554
4100 1.211531e-16 1.979129 -2.252125 -0.2729957 36 0.0003773 5.62464e-05 0.6497 0.2549 0.5873 0.1107 1.358 0.77 1 0.8889 -nan 1 0.01485 0.01485
4200 1.181981e-16 1.990365 -2.23579 -0.2454247 36 0.0003773 5.62464e-05 0.6417 0.2518 0.5801 0.1094 1.341 0.7691 1 0.8889 -nan 1 0.01415 0.01463
4300 1.153839e-16 1.981753 -2.23823 -0.2564764 36 0.0003772 5.62464e-05 0.634 0.2488 0.5731 0.1081 1.325 0.7692 1 0.8889 -nan 1 0.01852 0.0186
4400 1.127005e-16 1.972877 -2.240556 -0.2676797 36 0.0003772 5.62464e-05 0.6266 0.2458 0.5664 0.1068 1.31 0.7692 1 0.8889 -nan 1 0.01818 0.01835
4500 1.101392e-16 1.960433 -2.242777 -0.282344 36 0.0003771 5.62464e-05 0.6195 0.243 0.5599 0.1056 1.295 0.7707 1 0.8889 -nan 1 0.0177 0.01778
4600 1.076916e-16 1.938846 -2.242486 -0.30364 36 0.0003771 5.62464e-05 0.6125 0.2403 0.5537 0.1044 1.28 0.7707 1 0.8889 -nan 1 0.01724 0.01739
