#Step <PairEne> <EwaldEne> <ExtPotEne> <TotalEnergy> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate
100 -nan -nan -nan -nan 0 -nan -nan -nan -nan -nan 0.5233 0.25 0.1667 -nan 0.25
200 3.125704 -8.510566 -18.88499 -24.26985 0 7.626 3.981 5.299 3.772 21.89 0.5941 0.2 0.1429 -nan 0.3636
300 1.711673 -6.070731 -18.53542 -22.89448 0 7.543 3.953 5.167 3.818 21.45 0.6008 0.1429 0.1429 -nan 0.5789
400 1.850446 -6.178277 -18.38969 -22.71752 0 7.569 3.99 5.201 3.784 21.62 0.6217 0.1818 0.16 -nan 0.5652
500 1.970852 -5.019063 -17.9673 -21.01551 0 7.564 4.007 5.185 3.779 21.63 0.6236 0.1667 0.2 -nan 0.56
600 1.824065 -3.785201 -17.94533 -19.90647 0 7.548 3.99 5.171 3.784 21.49 0.6238 0.1538 0.2121 -nan 0.5152
700 1.593498 -1.28536 -17.66139 -17.35325 0 7.519 3.961 5.153 3.781 21.29 0.6232 0.2143 0.2162 -nan 0.5
800 1.428807 0.9354181 -17.45858 -15.09435 0 7.489 3.923 5.147 3.769 21.02 0.6309 0.25 0.1905 -nan 0.4419
900 1.320645 2.280647 -17.47 -13.86871 0 7.474 3.911 5.131 3.773 20.9 0.6307 0.2353 0.2245 -nan 0.4565
1000 1.308934 3.425519 -17.50431 -12.76986 0.00309898 7.466 3.909 5.115 3.781 20.86 0.6337 0.25 0.2115 -nan 0.449
1100 1.420905 3.313189 -17.54048 -12.80638 0.00309898 7.463 3.917 5.101 3.788 20.88 0.6398 0.25 0.2 -nan 0.4464
1200 1.490145 3.504727 -17.57072 -12.57585 0.00309898 7.472 3.934 5.095 3.793 20.79 0.6399 0.2174 0.2143 -nan 0.4444
1300 1.514938 3.977731 -17.59816 -12.10549 0.00309898 7.472 3.962 5.072 3.796 20.71 0.6333 0.24 0.2069 -nan 0.4493
1400 1.609002 4.285065 -17.6973 -11.80324 0.00309898 7.471 3.979 5.062 3.789 20.6 0.6334 0.2667 0.1935 -nan 0.4667
1500 1.700553 4.459577 -17.7802 -11.62007 0.00309898 7.473 3.991 5.06 3.783 20.54 0.6348 0.25 0.209 -nan 0.4444
1600 1.665244 4.949764 -17.85204 -11.23703 0.00309898 7.468 4.002 5.053 3.772 20.49 0.6357 0.25 0.2174 -nan 0.4253
1700 1.634348 5.487218 -17.90689 -10.78533 0.00309898 7.465 4.018 5.043 3.762 20.46 0.6381 0.25 0.2113 -nan 0.4222
